iter	Passed	Remaining
849	2989	527
850	2994	524
851	2997	520
852	2999	516
853	3000	513
854	3002	509
855	3004	505
856	3007	501
857	3013	498
858	3015	495
859	3017	491
860	3019	487
861	3021	483
862	3022	479
863	3027	476
864	3029	472
865	3031	469
866	3033	465
867	3035	461
868	3037	457
869	3041	454
870	3043	450
871	3045	447
872	3047	443
873	3049	439
874	3050	435
875	3052	432
876	3056	428
877	3058	425
878	3060	421
879	3062	417
880	3064	413
881	3066	410
882	3068	406
883	3072	403
884	3074	399
885	3077	395
886	3079	392
887	3081	388
888	3084	385
889	3086	381
890	3088	377
891	3090	374
892	3092	370
893	3094	366
894	3096	363
895	3098	359
896	3101	356
897	3103	352
898	3105	348
899	3106	345
900	3108	341
901	3110	337
902	3111	334
903	3116	330
904	3118	327
905	3119	323
906	3121	320
907	3123	316
908	3125	312
909	3126	309
910	3131	305
911	3133	302
912	3136	298
913	3138	295
914	3140	291
915	3141	288
916	3146	284
917	3148	281
918	3150	277
919	3151	274
920	3153	270
921	3155	266
922	3157	263
923	3161	260
924	3163	256
925	3165	252
926	3167	249
927	3168	245
928	3170	242
929	3172	238
930	3178	235
931	3181	232
932	3183	228
933	3185	225
934	3187	221
935	3191	218
936	3194	214
937	3195	211
938	3197	207
939	3199	204
940	3201	200
941	3203	197
942	3206	193
943	3209	190
944	3212	186
945	3215	183
946	3218	180
947	3224	176
948	3226	173
949	3228	169
950	3230	166
951	3232	162
952	3234	159
953	3238	156
954	3240	152
955	3241	149
956	3243	145
957	3245	142
958	3247	138
959	3249	135
960	3251	131
961	3254	128
962	3256	125
963	3257	121
964	3259	118
965	3261	114
966	3263	111
967	3269	108
968	3272	104
969	3274	101
970	3276	97
971	3280	94
972	3284	91
973	3287	87
974	3288	84
975	3290	80
976	3292	77
977	3294	74
978	3296	70
979	3300	67
980	3302	63
981	3304	60
982	3306	57
983	3308	53
984	3310	50
985	3314	47
986	3316	43
987	3318	40
988	3319	36
989	3321	33
990	3323	30
991	3325	26
992	3329	23
993	3331	20
994	3333	16
995	3334	13
996	3336	10
997	3338	6
998	3340	3
999	3344	0
