iter	Passed	Remaining
847	1738	311
848	1740	309
849	1743	307
850	1744	305
851	1746	303
852	1747	301
853	1748	298
854	1749	296
855	1750	294
856	1752	292
857	1753	290
858	1754	287
859	1756	285
860	1757	283
861	1758	281
862	1762	279
863	1763	277
864	1764	275
865	1765	273
866	1767	271
867	1768	268
868	1769	266
869	1770	264
870	1772	262
871	1773	260
872	1774	258
873	1775	256
874	1777	253
875	1779	251
876	1780	249
877	1783	247
878	1785	245
879	1786	243
880	1787	241
881	1788	239
882	1790	237
883	1791	235
884	1792	232
885	1796	231
886	1797	229
887	1799	226
888	1800	224
889	1801	222
890	1802	220
891	1804	218
892	1805	216
893	1807	214
894	1809	212
895	1810	210
896	1811	208
897	1812	205
898	1814	203
899	1815	201
900	1817	199
901	1820	197
902	1821	195
903	1822	193
904	1823	191
905	1825	189
906	1826	187
907	1827	185
908	1831	183
909	1832	181
910	1834	179
911	1836	177
912	1838	175
913	1839	173
914	1840	170
915	1843	169
916	1845	167
917	1847	165
918	1848	162
919	1851	160
920	1852	158
921	1853	156
922	1855	154
923	1856	152
924	1857	150
925	1859	148
926	1861	146
927	1862	144
928	1863	142
929	1867	140
930	1868	138
931	1870	136
932	1871	134
933	1872	132
934	1874	130
935	1875	128
936	1876	126
937	1879	124
938	1881	122
939	1882	120
940	1883	118
941	1885	116
942	1886	114
943	1887	111
944	1888	109
945	1890	107
946	1891	105
947	1892	103
948	1894	101
949	1896	99
950	1897	97
951	1899	95
952	1901	93
953	1902	91
954	1904	89
955	1905	87
956	1907	85
957	1908	83
958	1911	81
959	1913	79
960	1914	77
961	1915	75
962	1916	73
963	1918	71
964	1919	69
965	1921	67
966	1923	65
967	1925	63
968	1926	61
969	1927	59
970	1930	57
971	1931	55
972	1932	53
973	1935	51
974	1938	49
975	1939	47
976	1940	45
977	1941	43
978	1943	41
979	1944	39
980	1945	37
981	1948	35
982	1949	33
983	1950	31
984	1951	29
985	1953	27
986	1955	25
987	1956	23
988	1959	21
989	1960	19
990	1962	17
991	1963	15
992	1964	13
993	1965	11
994	1966	9
995	1967	7
996	1971	5
997	1972	3
998	1973	1
999	1975	0
